exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,en_G,en_H,en_I,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count
examtopics,CLF-01,1,A company is planning to run a global marketing application in the AWS Cloud. The application will feature videos that can be viewed by users. The company must ensure that all users can view these videos with low latency.Which AWS service should the company use to meet this requirement?,D,D,AWS Auto Scaling,Amazon Kinesis Video Streams,Elastic Load Balancing,Amazon CloudFront,,,,,,회사는 AWS 클라우드에서 글로벌 마케팅 애플리케이션을 운영 할 계획입니다. 응용 프로그램에는 사용자가 볼 수있는 비디오가 있습니다. 회사는 모든 사용자가 낮은 대기 시간으로 이러한 비디오를 볼 수 있도록해야합니다. 회사 가이 요구 사항을 충족시키기 위해 어떤 AWS 서비스를 사용해야합니까?,AWS Auto Scaling,Amazon Kinesis 비디오 스트림,탄성로드 밸런싱,Amazon CloudFront,,0,4
examtopics,CLF-01,2,Which pillar of the AWS Well-Architected Framework refers to the ability of a system to recover from infrastructure or service disruptions and dynamically acquire computing resources to meet demand?,B,B,Security,Reliability,Performance efficiency,Cost optimization,,,,,,AWS가 잘 구축 된 프레임 워크의 어떤 기둥은 시스템이 인프라 또는 서비스 중단에서 복구 할 수있는 능력을 말하고 수요를 충족시키기 위해 컴퓨팅 리소스를 동적으로 인수합니까?,보안,신뢰할 수 있음,성능 효율성,비용 최적화,,1,4
examtopics,CLF-01,3,Which of the following are benefits of migrating to the AWS Cloud? (Choose two.),AC,AC,Operational resilience,Discounts for products on Amazon.com,Business agility,Business excellence,Increased staff retention,,,,,다음 중 AWS 클라우드로 마이그레이션하는 이점은 무엇입니까? (2 개 선택.),운영 복원력,Amazon.com에서 제품 할인,비즈니스 민첩성,비즈니스 우수성,직원 유지 증가,0,5
examtopics,CLF-01,4,A company is planning to replace its physical on-premises compute servers with AWS serverless compute services. The company wants to be able to take advantage of advanced technologies quickly after the migration.Which pillar of the AWS Well-Architected Framework does this plan represent?,B,B,Security,Performance efficiency,Operational excellence,Reliability,,,,,,회사는 물리적 온 프레미스 컴퓨팅 서버를 AWS Serverless Compute 서비스로 교체 할 계획입니다. 회사는 마이그레이션 후 신속하게 고급 기술을 활용할 수 있기를 원합니다.이 계획은 어떤 AWS가 잘 구성된 프레임 워크의 기둥이 대표합니까?,보안,성능 효율성,운영 효율성,신뢰할 수 있음,,0,4
examtopics,CLF-01,5,"A large company has multiple departments. Each department has its own AWS account. Each department has purchased Amazon EC2 Reserved Instances.Some departments do not use all the Reserved Instances that they purchased, and other departments need more Reserved Instances than they purchased.The company needs to manage the AWS accounts for all the departments so that the departments can share the Reserved Instances.Which AWS service or tool should the company use to meet these requirements?",D,B,AWS Systems Manager,Cost Explorer,AWS Trusted Advisor,AWS Organizations,,,,,,대기업에는 여러 부서가 있습니다. 각 부서에는 자체 AWS 계정이 있습니다. 각 부서는 Amazon EC2 예약 인스턴스를 구매했습니다. 일부 부서는 구매 한 모든 예약 된 인스턴스를 사용하지 않으며 다른 부서에는 구매 한 것보다 더 많은 예약 된 인스턴스가 필요합니다. 회사는 모든 부서의 AWS 계정을 관리해야합니다. 예약 된 인스턴스를 공유합니다. 회사는 이러한 요구 사항을 충족하기 위해 어떤 AWS 서비스 또는 도구를 사용해야합니까?,AWS 시스템 관리자,Cost Explorer,AWS Trusted Advisor,AWS Organizations,,0,4
examtopics,CLF-01,6,"Which component of the AWS global infrastructure is made up of one or more discrete data centers that have redundant power, networking, and connectivity?",B,B,AWS Region,Availability Zone,Edge location,AWS Outposts,,,,,,"AWS 글로벌 인프라의 어떤 구성 요소가 중복력, 네트워킹 및 연결성을 갖는 하나 이상의 개별 데이터 센터로 구성됩니까?",AWS 지역,가용성 구역,가장자리 위치,AWS 전초 기지,,0,4
examtopics,CLF-01,7,Which duties are the responsibility of a company that is using AWS Lambda? (Choose two.),AD,AD,Security inside of code,Selection of CPU resources,Patching of operating system,Writing and updating of code,Security of underlying infrastructure,,,,,AWS Lambda를 사용하는 회사의 책임은 무엇입니까? (2 개 선택.),코드 내부의 보안,CPU 리소스 선택,운영 체제 패치,코드 작성 및 업데이트,기본 인프라의 보안,0,5
examtopics,CLF-01,8,Which AWS services or features provide disaster recovery solutions for Amazon EC2 instances? (Choose two.),BC,BC,׀•׀¡2 Reserved Instances,EC2 Amazon Machine Images (AMIs),Amazon Elastic Block Store (Amazon EBS) snapshots,AWS Shield,Amazon GuardDuty,,,,,Amazon EC2 인스턴스에 재해 복구 솔루션을 제공하는 AWS 서비스 또는 기능은 무엇입니까? (2 개 선택.),׀ • 2 ¡2 예약 된 인스턴스,EC2 Amazon Machine 이미지 (AMIS),Amazon Elastic Block Store (Amazon EBS) 스냅 샷,AWS Shield,Amazon GuardDuty,0,5
examtopics,CLF-01,9,A company is migrating to the AWS Cloud instead of running its infrastructure on premises.Which of the following are advantages of this migration? (Choose two.),BC,BD,Elimination of the need to perform security auditing,Increased global reach and agility,Ability to deploy globally in minutes,Elimination of the cost of IT staff members,Redundancy by default for all compute services,,,,,회사는 구내에서 인프라를 실행하는 대신 AWS 클라우드로 마이그레이션하고 있습니다.이 마이그레이션의 장점은 무엇입니까? (2 개 선택.),보안 감사를 수행 할 필요가 없습니다,글로벌 도달 범위와 민첩성 증가,몇 분 안에 전 세계적으로 배포하는 기능,IT 직원의 비용 제거,모든 컴퓨팅 서비스에 대한 기본적으로 중복성,0,5
examtopics,CLF-01,10,"A user is comparing purchase options for an application that runs on Amazon EC2 and Amazon RDS. The application cannot sustain any interruption. The application experiences a predictable amount of usage, including some seasonal spikes that last only a few weeks at a time. It is not possible to modify the application.Which purchase option meets these requirements MOST cost-effectively?",C,B,Review the AWS Marketplace and buy Partial Upfront Reserved Instances to cover the predicted and seasonal load.,Buy Reserved Instances for the predicted amount of usage throughout the year. Allow any seasonal usage to run on Spot Instances.,Buy Reserved Instances for the predicted amount of usage throughout the year. Allow any seasonal usage to run at an On-Demand rate.,Buy Reserved Instances to cover all potential usage that results from the seasonal usage.,,,,,,사용자는 Amazon EC2 및 Amazon RDS에서 실행되는 응용 프로그램의 구매 옵션을 비교하고 있습니다. 응용 프로그램은 중단을 유지할 수 없습니다. 응용 프로그램은 한 번에 몇 주 동안 지속되는 계절 스파이크를 포함하여 예측 가능한 양의 사용량을 경험합니다. 애플리케이션을 수정할 수 없습니다. 어떤 구매 옵션이 이러한 요구 사항을 가장 비용 효율적으로 충족합니까?,AWS 마켓 플레이스를 검토하고 부분 선불 예약 인스턴스를 구입하여 예측 및 계절로드를 다루십시오.,연중 예상되는 사용량에 대해 예약 된 인스턴스를 구입하십시오. 계절적 사용이 현물 인스턴스에서 실행되도록합니다.,연중 예상되는 사용량에 대해 예약 된 인스턴스를 구입하십시오. 계절적 사용이 주문형 속도로 실행되도록하십시오.,계절적 사용으로 인해 발생하는 모든 잠재적 사용을 충당하기 위해 예약 된 인스턴스를 구입하십시오.,,1,4
examtopics,CLF-01,11,A company wants to review its monthly costs of using Amazon EC2 and Amazon RDS for the past year.Which AWS service or tool provides this information?,B,B,AWS Trusted Advisor,Cost Explorer,Amazon Forecast,Amazon CloudWatch,,,,,,회사는 지난해 Amazon EC2 및 Amazon RDS 사용에 대한 월별 비용을 검토하려고합니다. 어떤 AWS 서비스 또는 도구 가이 정보를 제공합니까?,AWS Trusted Advisor,Cost Explorer,아마존 예측,Amazon CloudWatch,,0,4
examtopics,CLF-01,12,A company wants to migrate a critical application to AWS. The application has a short runtime. The application is invoked by changes in data or by shifts in system state. The company needs a compute solution that maximizes operational efficiency and minimizes the cost of running the application.Which AWS solution should the company use to meet these requirements?,B,B,Amazon EC2 On-Demand Instances,AWS Lambda,Amazon EC2 Reserved Instances,Amazon EC2 Spot Instances,,,,,,회사는 중요한 응용 프로그램을 AWS로 마이그레이션하려고합니다. 응용 프로그램에는 단기 런 타임이 있습니다. 응용 프로그램은 데이터의 변경 또는 시스템 상태의 이동에 의해 호출됩니다. 회사는 운영 효율성을 극대화하고 응용 프로그램 실행 비용을 최소화하는 컴퓨팅 솔루션이 필요합니다. 회사가 이러한 요구 사항을 충족하기 위해 어떤 AWS 솔루션을 사용해야합니까?,Amazon EC2 주문형 인스턴스,AWS Lambda,Amazon EC2 예약 인스턴스,Amazon EC2 스팟 인스턴스,,0,4
examtopics,CLF-01,13,Which AWS service or feature allows users to connect with and deploy AWS services programmatically?,D,D,AWS Management Console,AWS Cloud9,AWS CodePipeline,AWS software development kits (SDKs),,,,,,어떤 AWS 서비스 또는 기능이 사용자가 프로그래밍 방식으로 AWS 서비스에 연결하고 배포 할 수 있습니까?,AWS Management Console,AWS Cloud9,AWS CodePipeline,AWS 소프트웨어 개발 키트 (SDK),,1,4
