exam_category,exam_type,quiz_id,quiz_title,most_vote,correct,A,B,C,D,E,F,G,H,I
examtopics,CLF-01,1,회사 회사 회사 aws는에서에서 글로벌 마케팅 애플리케이션 애플리케이션을 운영 운영 할 계획입니다입니다입니다입니다입니다입니다 프로그램에는에는 사용자가 볼 수있는 비디오 비디오 있습니다 있습니다 있습니다 있습니다 있습니다 회사 회사는 모든 사용자가 낮은 대기 시간으로 이러한 비디오 볼 볼 수 있도록 있도록해야합니다합니다 이러한 이러한 이러한회사 회사 회사 요구 가이을 충족시키기 위해 위해 어떤 aws 서비스를 사용해야합니까?,D,D,aws 자동 스케일링,아마존 키네시스 is 스트림,탄성 탄성 밸런싱,아마존 아마존 프론트,난,난,난,난,난
examtopics,CLF-01,2,aws가 잘가 된 된 프레임 워크의의 어떤 기둥은 시스템 시스템이 인프라 또는 또는 서비스 중단에서 복구 할 수있는있는 능력을 말하고 수요를를 충족시키기 위해 컴퓨팅 리소스를를 동적으로합니까합니까합니까?,B,B,보안,신뢰 신뢰 수 할,성능 성능,비용 비용 화,난,난,난,난,난
examtopics,CLF-01,3,다음 다음 aws 중로로 마이그레이션하는 이점 이점은 무엇입니까입니까?,AC,AC,운영 운영,Amazon.com 제품에서 할인,비즈니스 비즈니스,비즈니스 비즈니스,직원 직원 증가,난,난,난,난
examtopics,CLF-01,4,Servers Serverless Compute Compute Compute 서비스로 교체 교체 할 계획입니다입니다를를 회사는 마이그레이션 후 후 후 신속 신속 신속이이 계획 계획 어떤 어떤 어떤 어떤 어떤 어떤가 잘 구성 된 프레임 프레임 워크 기둥이 기둥이합니까합니까?,B,B,보안,성능 성능,운영 운영,신뢰 신뢰 수 할,난,난,난,난,난
examtopics,CLF-01,5,대기업 대기업 대기업 여러에는가 있습니다 있습니다. 각 부서에는 자체 자체 aws 계정이 있습니다 있습니다. 각는는는는는는는 예약 예약 인스턴스를했습니다했습니다.일부 일부는 부서 부서 한 모든 예약 예약 된 인스턴스를를 사용 사용 않으며 다른 다른 부서에는 구매 한 것보다 더 더 많은 예약 인스턴스 인스턴스가합니다합니다합니다.회사 회사 회사 모든는의의 aws 계정을을 관리합니다합니다.회사 회사 회사 이러한는 사항을 충족 충족하기 위해 어떤 어떤 aws 서비스 또는 도구 도구를 사용합니까합니까?,D,B,aws 시스템 관리자,비용 비용,aws 신뢰 할 신뢰있는 고문 고문,aws 조직,난,난,난,난,난
examtopics,CLF-01,6,"aws 글로벌 인프라 글로벌 어떤 어떤 구성 요소가 중복력 중복력, 네트워킹 및 연결성 연결성을 갖는 하나 이상의 개별 데이터 센터로 구성됩니까?",B,B,aws 지역,가용성 가용성,가장자리 가장자리,aws 전초 기지,난,난,난,난,난
examtopics,CLF-01,7,aws lambda amb 사용하는 회사 회사의 책임은 무엇입니까입니까입니까?,AD,AD,코드 코드 보안,CPU 선택 리소스,운영 운영 패치,코드 코드 및 작성,기본 기본의 인프라,난,난,난,난
examtopics,CLF-01,8,Amazon EC2 인스턴스 2 재해 재해 복구 솔루션을 제공 제공하는 aws 서비스 또는 또는 기능은 무엇입니까? (2 개 선택 선택.),BC,BC,׀ • 2 ¡ 2 예약 된 인스턴스,EC2 Amazon Machine (AMIS),Amazon Elastic Block Store (Amazon EBS) 스냅 샷,aws 방패,Amazon Guardduty,난,난,난,난
examtopics,CLF-01,9,회사 회사 회사 구내는 인프라를를 실행하는 대신 대신 aws 클라우드로 마이그레이션하고하고 있습니다.이 마이그레이션 마이그레이션의 장점 장점 무엇입니까입니까?,BC,BD,보안 보안를 감사 감사 할 필요가 없습니다 없습니다,글로벌 글로벌 범위 도달 민첩성 증가 증가,몇 몇 몇 안 분 전 세계 세계 적으로으로 배포하는 기능 기능,그것은 비용 비용의 제거입니다,모든 모든 서비스 컴퓨팅 컴퓨팅 대한 기본 적으로 중복성 중복성,난,난,난,난
examtopics,CLF-01,10,Amazon EC2 및 Amazon RDS에서 실행되는되는 응용 응용 프로그램의의 구매 옵션을 옵션을 비교하고 있습니다.을을합니다.어떤 어떤 옵션이 옵션이 구매 요구 사항 사항을 가장 비용 효율 적으로 충족합니까?,C,B,aws 마켓 플레이스 마켓 검토 검토하고 부분 선불 선불 예약 인스턴스를 구입하여 예측 예측 및 계절로드 다루십시오 다루십시오 다루십시오.,연중 연중되는되는 예상에 대해 예약 예약 된 인스턴스를 구입하십시오하십시오하십시오.,연중 연중되는되는 예상에 대해 대해 예약 된 인스턴스를 구입하십시오하십시오하십시오.,계절 계절 사용 사용 적 인 해 발생 발생하는 모든 잠재 적 적 사용을 충당하기 위해 예약 예약 된 인스턴스 구입하십시오하십시오하십시오.,난,난,난,난,난
examtopics,CLF-01,11,Amazon EC2 및 Amazon RDS 사용에 대한 월별 월별 비용을 검토하려고합니다합니다.어떤 aws 서비스 s 도구 도구 가이 정보를 제공합니까?,B,B,aws 신뢰 할 신뢰있는 고문 고문,비용 비용,아마존 아마존,아마존 아마존 워치,난,난,난,난,난
examtopics,CLF-01,12,회사 회사 중요는는 응용 프로그램을을 aws로로 마이그레이션하려고합니다합니다합니다합니다합니다합니다합니다 응용 프로그램 프로그램에는 단기 단기 런 타임이 있습니다.하는하는 솔루션이 컴퓨팅합니다.회사 회사 회사 이러한가 사항을을 충족하기 위해 어떤 어떤 aws 솔루션을 사용해야합니까?,B,B,아마존 EC2 주문형 2,AWS Lambda,아마존 EC2 예약 2,아마존 EC2 스팟 2,난,난,난,난,난
examtopics,CLF-01,13,어떤 aws 서비스 s s 기능이 사용자가 프로그래밍 방식 방식으로 aws 서비스에에 연결하고 배포 할 있습니까 있습니까?,D,D,aws 관리 콘솔,AWS Cloud9,AWS CodePipeline,aws 소프트웨어 개발 소프트웨어 (SDK),난,난,난,난,난
examtopics,CLF-01,14,Amazon Amazon S3을 사용하는 데이터 데이터 레이크를 만들입니다입니다입니다.어떤 어떤가가 요소에 가장 가장 큰 영향을 까 까?,A,A,s3 스토리지 계층 스토리지 선택 선택,기존 기존를를 아마존 S3로 전송하는 요금,S3 버킷 정책 버킷,s3 각 요청 각 대한 대한 수수료를 섭취합니다합니다,난,난,난,난,난
examtopics,CLF-01,15,회사 회사 회사 항상는 할 수 있어야 있어야하는 전자 전자 상 거래 거래 응용 프로그램을을 시작하고 있습니다. 응용 프로그램은 다음 다음 개월 동안 동안 Amazon EC2 인스턴스에서 지속 적으로됩니다됩니다.이러한 이러한 이러한 사항 요구 충족하는 가장 가장 비용 효율 적 적 인 구매 구매 옵션은입니까입니까?,B,B,스팟 스팟,저축 저축,전용 전용,주문형 주문형,난,난,난,난,난
