exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count,ko_F
udemy,CLF-01,1,"A startup wants to set up its IT infrastructure on AWS Cloud. The CTO would like to get an estimate of the monthly AWS bill based on the AWS services that the startup wants to use. As a Cloud Practitioner, which AWS service would you suggest for this use-case?",C,C,AWS Budgets,AWS Cost & Usage Report (AWS CUR),AWS Pricing Calculator,AWS Cost Explorer,,,스타트업에서 AWS 클라우드에 IT 인프라를 설정하려고 합니다. CTO는 스타트업이 사용하고자 하는 AWS 서비스를 기반으로 월별 AWS 청구액을 추정하고자 합니다. 클라우드 실무자로서 이 사용 사례에 대해 어떤 AWS 서비스를 제안하시겠습니까?,AWS 예산,AWS 비용 및 사용 보고서(AWS CUR),AWS 요금 계산기,AWS 비용 탐색기,,0,,
udemy,CLF-01,2,Which of the following statements are CORRECT regarding the AWS VPC service? (Select two),BE,BE,A Network Address Translation instance (NAT instance) is managed by AWS,A Security Group can have allow rules only,A Security Group can have both allow and deny rules,A network access control list (network ACL) can have allow rules only,A Network Address Translation gateway (NAT gateway) is managed by AWS,,다음 중 AWS VPC 서비스에 대한 올바른 설명은 무엇입니까? (2개 선택),네트워크 주소 변환 인스턴스(NAT 인스턴스)는 AWS에서 관리합니다.,보안 그룹은 허용 규칙만 가질 수 있습니다.,보안 그룹은 허용 및 거부 규칙을 모두 가질 수 있습니다.,네트워크 액세스 제어 목록(네트워크 ACL)에는 허용 규칙만 있을 수 있습니다.,네트워크 주소 변환 게이트웨이(NAT 게이트웨이)는 AWS에서 관리합니다.,0,,
udemy,CLF-01,3,Which of the following is a benefit of using AWS managed services such as Amazon Relational Database Service (Amazon RDS)?,A,A,The performance of AWS managed Amazon Relational Database Service (Amazon RDS) instance is better than a customer-managed database instance,The customer needs to patch the underlying OS,There is no need to optimize database instance type and size,The customer needs to manage database backups,,,다음 중 Amazon Relational Database Service(Amazon RDS)와 같은 AWS 관리형 서비스를 사용할 때의 이점은 무엇입니까?,AWS 관리형 Amazon Relational Database Service(Amazon RDS) 인스턴스의 성능은 고객 관리형 데이터베이스 인스턴스보다 우수합니다.,고객은 기본 OS를 패치해야 합니다.,데이터베이스 인스턴스 유형 및 크기를 최적화할 필요가 없습니다.,고객이 데이터베이스 백업을 관리해야 함,,0,,
udemy,CLF-01,4,Which of the following AWS services support VPC Endpoint Gateway for a private connection from a VPC? (Select two),BC,BC,Amazon Simple Queue Service (SQS),Amazon DynamoDB,Amazon Simple Storage Service (Amazon S3),Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Notification Service (SNS),,다음 중 VPC의 프라이빗 연결을 위해 VPC 엔드포인트 게이트웨이를 지원하는 AWS 서비스는 무엇입니까? (2개 선택),Amazon 단순 대기열 서비스(SQS),아마존 다이나모DB,Amazon Simple Storage Service(Amazon S3),아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),Amazon 단순 알림 서비스(SNS),0,,
udemy,CLF-01,5,Which of the following AWS Support plans provide access to only core checks from the AWS Trusted Advisor Best Practice Checks? (Select two),AD,AD,AWS Developer Support,AWS Enterprise On-Ramp Support,AWS Enterprise Support,AWS Basic Support,AWS Business Support,,다음 AWS Support 플랜 중 AWS Trusted Advisor 모범 사례 확인에서 핵심 확인에만 액세스할 수 있는 것은 무엇입니까? (2개 선택),AWS 개발자 지원,AWS 엔터프라이즈 온램프 지원,AWS 엔터프라이즈 지원,AWS 기본 지원,AWS 비즈니스 지원,0,,
udemy,CLF-01,6,What are the advantages that AWS Cloud offers over a traditional on-premises IT infrastructure? (Select two),CE,CE,Increase speed and agility by keeping servers and other required resources ready before time in your data centers,Provide lower latency to applications by maintaining servers on-premises,Eliminate guessing on your infrastructure capacity needs,"Make a capacity decision before deploying an application, to reduce costs",Trade capital expense for variable expense,,기존 온프레미스 IT 인프라에 비해 AWS 클라우드가 제공하는 이점은 무엇입니까? (2개 선택),데이터 센터에서 미리 서버 및 기타 필수 리소스를 준비하여 속도와 민첩성을 높입니다.,서버를 온프레미스로 유지하여 애플리케이션에 더 짧은 지연 시간 제공,인프라 용량 요구 사항에 대한 추측 제거,애플리케이션을 배포하기 전에 용량을 결정하여 비용 절감,가변 비용에 대한 무역 자본 비용,0,,
udemy,CLF-01,7,A web application stores all of its data on Amazon S3 buckets. A client has mandated that data be encrypted before sending it to Amazon S3.Which of the following is the right technique for encrypting data as needed by the customer?,D,D,Enable server-side encryption with Amazon S3 Managed Keys (SSE-S3),Enable server-side encryption with AWS Key Management Service (AWS KMS) keys (SSE-KMS),Encryption is enabled by default for all the objects written to Amazon S3. Additional configuration is not required,Enable client-side encryption using AWS encryption SDK,,,웹 애플리케이션은 모든 데이터를 Amazon S3 버킷에 저장합니다. 클라이언트는 데이터를 Amazon S3로 보내기 전에 데이터를 암호화하도록 지시했습니다.다음 중 고객이 필요로 하는 데이터를 암호화하는 올바른 기술은 무엇입니까?,Amazon S3 관리형 키(SSE-S3)로 서버 측 암호화 활성화,AWS Key Management Service(AWS KMS) 키(SSE-KMS)로 서버 측 암호화 활성화,암호화는 Amazon S3에 기록된 모든 객체에 대해 기본적으로 활성화됩니다. 추가 구성이 필요하지 않습니다.,AWS 암호화 SDK를 사용하여 클라이언트 측 암호화 활성화,,0,,
udemy,CLF-01,8,Which AWS Service can be used to mitigate a Distributed Denial of Service (DDoS) attack?,B,B,AWS Key Management Service (AWS KMS),AWS Shield,Amazon CloudWatch,AWS Systems Manager,,,DDoS(분산 서비스 거부) 공격을 완화하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,AWS 키 관리 서비스(AWS KMS),AWS 실드,아마존 클라우드워치,AWS 시스템 관리자,,0,,
udemy,CLF-01,9,Which AWS service will help you receive alerts when the reservation utilization falls below the defined threshold?,A,A,AWS Budgets,AWS CloudTrail,AWS Trusted Advisor,AWS Pricing Calculator,,,예약 사용률이 정의된 임계값 아래로 떨어질 때 알림을 받는 데 도움이 되는 AWS 서비스는 무엇입니까?,AWS 예산,AWS CloudTrail,AWS 신뢰할 수 있는 조언자,AWS 요금 계산기,,0,,
udemy,CLF-01,10,"According to the AWS Shared Responsibility Model, which of the following are responsibilities of AWS? (Select two)",BE,BE,Enabling Multi Factor Authentication on AWS accounts in your organization,Replacing faulty hardware of Amazon EC2 instances,Creating S3 bucket policies for appropriate user access,Creating IAM role for accessing Amazon EC2 instances,Maintaining Amazon S3 data in different availability zones to keep it durable,,AWS 공동 책임 모델에 따르면 다음 중 AWS의 책임은 무엇입니까? (2개 선택),조직의 AWS 계정에서 다단계 인증 활성화,Amazon EC2 인스턴스의 결함 있는 하드웨어 교체,적절한 사용자 액세스를 위한 S3 버킷 정책 생성,Amazon EC2 인스턴스에 액세스하기 위한 IAM 역할 생성,내구성을 유지하기 위해 다양한 가용 영역에서 Amazon S3 데이터 유지,0,,
